,decision_date_kr,curr_change_kr,category_kr
0,1999-10-07,0.08316008316007206,hold
1,1999-11-04,0.16884761502744539,hold
2,1999-12-02,0.0652457590256672,hold
3,2000-01-06,-0.7633587786259555,appreciation
4,2000-02-25,0.0,hold
5,2000-03-09,-0.13334163014587785,hold
6,2000-04-06,-1.1014534182575253,appreciation
7,2000-05-04,-0.008998875140597828,hold
8,2000-06-08,-0.044822949350065144,hold
9,2000-07-06,0.13428827215755668,hold
10,2000-08-03,0.10315289052340582,hold
11,2000-09-07,-0.13507429085997114,hold
12,2000-10-05,-0.10099385099385794,hold
13,2000-11-09,0.149938260716187,hold
14,2000-12-07,-0.7503126302626062,appreciation
15,2001-01-11,-0.03910833007431114,hold
16,2001-01-11,-0.03910833007431114,hold
17,2001-02-08,-0.16586367585498252,hold
18,2001-03-08,-0.1416096294547975,hold
19,2001-04-06,0.0,hold
20,2001-05-08,0.19186492709133418,hold
21,2001-06-01,0.0,hold
22,2001-06-07,-0.0388953714507978,hold
23,2001-07-05,-0.23927138005556126,hold
24,2001-08-09,-0.3500583430571802,appreciation
25,2001-09-06,-0.27216174183515296,hold
26,2001-09-19,0.4495427065571267,depreciation
27,2001-10-11,-0.15479280097958625,hold
28,2001-11-08,-0.1951600312256052,hold
29,2001-12-06,-0.031510950055146925,hold
30,2002-01-10,-0.11432926829267887,hold
31,2002-01-10,-0.11432926829267887,hold
32,2002-02-07,0.18968133535659515,hold
33,2002-03-07,-0.030425192059035933,hold
34,2002-04-04,0.03383331453705729,hold
35,2002-05-07,0.39215686274509665,depreciation
36,2002-05-21,0.36231884057971175,depreciation
37,2002-06-05,0.31040679627512,depreciation
38,2002-06-24,-0.80339485827291,appreciation
39,2002-06-26,-0.21597375088258097,hold
40,2002-07-04,-0.24989587671803148,hold
41,2002-08-06,-0.18606574322926894,hold
42,2002-09-12,0.19558884727424175,hold
43,2002-10-11,0.0,hold
44,2002-11-07,-1.5363128491620137,appreciation
45,2002-12-12,-0.12437810945273853,hold
46,2003-01-09,0.008485362749244274,hold
47,2003-02-06,0.6289308176100628,depreciation
48,2003-03-06,0.6897976042957277,depreciation
49,2003-04-10,-0.012197601138452807,hold
50,2003-05-13,-0.26259847442789974,hold
51,2003-06-12,-0.11313165172210926,hold
52,2003-06-23,-0.25624868725057093,hold
53,2003-07-10,0.004242861385717056,hold
54,2003-08-07,-0.3291278113000673,appreciation
55,2003-09-09,0.008546278095900028,hold
56,2003-10-09,-0.3262287951283138,appreciation
57,2003-11-06,-0.2158182049003421,hold
58,2003-12-11,-0.21471876052542305,hold
59,2004-01-08,0.008463817181536548,hold
60,2004-01-08,0.008463817181536548,hold
61,2004-02-06,0.0,hold
62,2004-03-11,0.9448886228568876,depreciation
63,2004-04-08,0.3200912040691062,depreciation
64,2004-05-06,0.44595000214400216,depreciation
65,2004-06-10,0.3967740544270626,depreciation
66,2004-06-16,0.25061573693987427,hold
67,2004-07-08,-0.060872211835305556,hold
68,2004-08-12,0.36285097192225724,depreciation
69,2004-09-09,0.030554343081612423,hold
70,2004-10-07,-0.1869321392861889,hold
71,2004-11-11,-1.0211426000899637,appreciation
72,2004-11-30,-0.6723891273247462,appreciation
73,2004-12-09,1.1370096645821448,depreciation
74,2005-01-13,0.5980803549896052,depreciation
75,2005-02-15,-0.06333430770728565,hold
76,2005-03-10,-0.03999000249936824,hold
77,2005-04-07,0.2815370937469197,depreciation
78,2005-05-12,0.09003601440575881,hold
79,2005-06-07,-0.19890601690700782,hold
80,2005-06-09,0.5979073243647326,depreciation
81,2005-07-07,0.2377555872562942,hold
82,2005-08-11,0.09866798223976403,hold
83,2005-09-08,-0.06335282651073193,hold
84,2005-10-11,0.6144983197311715,depreciation
85,2005-11-10,-0.3636015692278227,appreciation
86,2005-11-15,-0.17868353696817163,hold
87,2005-12-08,-0.06283228612857794,hold
88,2006-01-12,1.3910276152345746,depreciation
89,2006-02-09,-0.5088666152660015,appreciation
90,2006-03-09,-0.20872575472178356,hold
91,2006-04-07,0.0,hold
92,2006-05-04,0.0,hold
93,2006-05-11,-0.2939290294997843,appreciation
94,2006-06-08,0.11012638313492307,hold
95,2006-07-07,0.0,hold
96,2006-08-10,0.40187891440501833,depreciation
97,2006-09-07,-0.005227938101204366,hold
98,2006-10-12,-0.38628177689618015,appreciation
99,2006-11-09,-0.2775850104094424,appreciation
100,2006-12-07,0.7035626750700352,depreciation
101,2007-01-08,-0.04263710494056827,hold
102,2007-01-11,0.11715213802649949,hold
103,2007-02-08,-0.048125768675466585,hold
104,2007-03-08,-0.2110038508202794,hold
105,2007-04-12,-0.2736785618459803,hold
106,2007-05-10,0.17618764524671704,hold
107,2007-06-08,0.0,hold
108,2007-07-12,-0.15572592237661498,hold
109,2007-08-09,0.9806577450289788,depreciation
110,2007-09-10,-0.7028753993610248,appreciation
111,2007-10-11,0.13303092423779805,hold
112,2007-11-08,-0.19262520638414493,hold
113,2007-12-07,0.0,hold
114,2008-01-07,-0.32750975617535927,appreciation
115,2008-01-10,0.02240262857509112,hold
116,2008-02-13,-0.07400359446029237,hold
117,2008-03-07,0.0,hold
118,2008-04-10,-0.06555429226970944,hold
119,2008-05-08,-0.467846287244289,appreciation
120,2008-06-12,0.7302800212797056,depreciation
121,2008-07-10,-0.02492646692258127,hold
122,2008-08-07,1.106793251020699,depreciation
123,2008-09-11,-0.03155427335017613,hold
124,2008-10-09,-5.36295867409714,appreciation
125,2008-10-27,-1.0985964304280005,appreciation
126,2008-11-07,0.0,hold
127,2008-12-05,0.0,hold
128,2008-12-11,1.0083538806903825,depreciation
129,2009-01-04,-0.7450268512215308,appreciation
130,2009-01-09,0.0,hold
131,2009-02-12,-0.010679957280179675,hold
132,2009-03-12,-0.9020747719755473,appreciation
133,2009-04-09,0.7712665406427233,depreciation
134,2009-05-12,1.9391696169938966,depreciation
135,2009-06-11,0.10217521452804412,hold
136,2009-07-09,0.2775714453262301,depreciation
137,2009-08-11,-0.14928986442866998,hold
138,2009-09-10,-0.2221369245469451,hold
139,2009-10-09,0.0,hold
140,2009-11-12,0.24449244060473774,hold
141,2009-12-10,-0.11841123018972999,hold
142,2010-01-07,-0.4051614039723317,appreciation
143,2010-01-08,0.0,hold
144,2010-02-11,-0.47110688507583376,appreciation
145,2010-03-11,-0.46143123086560545,appreciation
146,2010-04-09,0.0,hold
147,2010-05-12,-1.1165515432368656,appreciation
148,2010-06-10,-0.3956676391830949,appreciation
149,2010-07-09,0.0,hold
150,2010-08-12,-0.20907450808478334,hold
151,2010-09-09,-0.13961695275295227,hold
152,2010-10-14,0.031500315003163415,hold
153,2010-11-16,0.462159577858845,depreciation
154,2010-12-09,0.35367940673132203,depreciation
155,2011-01-06,0.20001250078129917,hold
156,2011-01-13,0.026927564850565133,hold
157,2011-02-11,0.0,hold
158,2011-03-10,0.2317910314700855,hold
159,2011-04-12,-0.6382122741569796,appreciation
160,2011-05-13,0.0,hold
161,2011-06-10,0.0,hold
162,2011-07-14,-0.05196277575699737,hold
163,2011-08-11,-0.2107832260927367,hold
164,2011-09-08,0.19718178858763036,hold
165,2011-10-13,0.017302534821328486,hold
166,2011-11-11,0.0,hold
167,2011-12-08,1.3479114002368897,depreciation
168,2011-12-29,0.0,hold
169,2012-01-13,0.0,hold
170,2012-02-09,0.7197275253204349,depreciation
171,2012-03-08,-0.04023964946794356,hold
172,2012-04-13,0.0,hold
173,2012-05-10,0.35887785023414054,depreciation
174,2012-06-08,0.0,hold
175,2012-07-12,-0.08859934853420182,hold
176,2012-08-09,0.4220234023082359,depreciation
177,2012-09-13,-0.9925294435631837,appreciation
178,2012-10-11,-0.25755617775862216,hold
179,2012-11-09,0.0,hold
180,2012-12-13,0.15190345277480422,hold
181,2012-12-27,-0.15202671193270678,hold
182,2013-01-11,0.0,hold
183,2013-02-14,-0.5103453367540922,appreciation
184,2013-03-14,0.13071895424836555,hold
185,2013-04-11,-0.0026567951965095205,hold
186,2013-05-09,1.3791144344256212,depreciation
187,2013-06-13,-0.713970912296158,appreciation
188,2013-07-11,0.20225780296347917,hold
189,2013-08-08,-0.06289308176100628,hold
190,2013-09-12,0.1704990553430763,hold
191,2013-10-10,-0.19282720074521587,hold
192,2013-11-14,-0.4073605843517236,appreciation
193,2013-12-12,0.1569858712715977,hold
194,2013-12-26,-0.4550733121217676,appreciation
195,2014-01-09,-0.12515526781347042,hold
196,2014-02-13,-0.3018655667010428,appreciation
197,2014-03-13,0.3357556372342696,depreciation
198,2014-04-10,-0.4970914859862341,appreciation
199,2014-05-09,0.0,hold
200,2014-06-12,0.024567610062886658,hold
201,2014-07-10,0.5328333908924954,depreciation
202,2014-08-14,0.014691478942219227,hold
203,2014-09-12,0.0,hold
204,2014-10-15,0.2681343494213895,hold
205,2014-11-13,0.3738658642228554,depreciation
206,2014-12-11,0.213471408457111,hold
207,2014-12-24,-0.37631483496552987,appreciation
208,2015-01-15,-0.5538887606738929,appreciation
209,2015-02-17,-0.013611615245012754,hold
210,2015-03-12,0.18022017045453698,hold
211,2015-04-09,0.02746372499657923,hold
212,2015-05-15,0.0,hold
213,2015-06-11,0.5411987552428554,depreciation
214,2015-07-09,-0.3792388763945831,appreciation
215,2015-08-13,0.03407735559721736,hold
216,2015-09-11,0.0,hold
217,2015-10-15,-0.07962487835087018,hold
218,2015-11-12,0.47483380816715215,depreciation
219,2015-12-10,-0.16081933217656497,hold
220,2015-12-24,0.00856347677156144,hold
221,2016-01-14,-0.008241645032336375,hold
222,2016-02-16,0.8836100608252462,depreciation
223,2016-03-10,-0.8599916909015293,appreciation
224,2016-04-19,-0.2904290429042833,appreciation
225,2016-05-13,0.0,hold
226,2016-06-09,0.8261960377195177,depreciation
227,2016-07-14,-0.44013775169553515,appreciation
228,2016-08-11,0.31644418579275246,depreciation
229,2016-09-09,0.0,hold
230,2016-10-13,-0.15416464784390183,hold
231,2016-11-11,0.0,hold
232,2016-12-15,0.4744404742707209,depreciation
233,2016-12-29,0.0,hold
234,2017-01-13,0.0,hold
235,2017-02-23,-0.5116618460267008,appreciation
236,2017-04-13,0.8948328052256205,depreciation
237,2017-05-25,0.3896278382372609,depreciation
238,2017-07-13,-0.2684032208386422,hold
239,2017-08-31,-0.39914848323576724,appreciation
240,2017-10-19,-0.09713882020488951,hold
241,2017-11-30,-0.1516474426726533,hold
242,2018-01-18,-0.42970574497896985,appreciation
243,2018-02-27,1.1061843640606694,depreciation
244,2018-04-12,0.004674863260234474,hold
245,2018-05-24,-0.1620895660630728,hold
246,2018-07-12,-0.22203472623117948,hold
247,2018-08-31,0.0,hold
248,2018-10-18,-0.2774719224840405,appreciation
249,2018-11-30,0.0,hold
250,2019-01-24,-0.6556505559739634,appreciation
251,2019-02-28,0.0,hold
252,2019-04-18,-0.013193192312777047,hold
253,2019-05-31,0.0,hold
254,2019-07-18,-0.36479321314951685,appreciation
255,2019-08-30,0.0,hold
256,2019-10-16,-0.5429749978954512,appreciation
257,2019-11-29,0.0,hold
258,2020-01-17,0.0,hold
259,2020-02-27,-0.2177217269851761,hold
260,2020-03-16,1.602707883039045,depreciation
261,2020-04-09,-0.9058119517993402,appreciation
262,2020-05-28,-0.09680932596507485,hold
263,2020-07-16,-0.03732890916632314,hold
264,2020-08-27,-0.05063291139240089,hold
265,2020-10-14,0.04359577992849584,hold
266,2020-11-26,-0.06340005434288809,hold
267,2021-01-15,0.0,hold
268,2021-02-25,1.3898916967509,depreciation
269,2021-04-15,-0.10289446606720487,hold
270,2021-05-27,-0.22809606869717003,hold
271,2021-07-15,-0.11827580164711637,hold
272,2021-08-26,-0.11534025374857482,hold
273,2021-10-12,-0.9802694698202163,appreciation
274,2021-11-25,0.2857382973358913,depreciation
275,2022-01-14,0.0,hold
276,2022-02-24,-0.06237006237006515,hold
277,2022-04-14,0.43693086691982685,depreciation
278,2022-05-26,-0.8875039444619759,appreciation
279,2022-07-13,1.4767771061290125,depreciation
280,2022-08-25,-0.29578044853795227,appreciation
281,2022-10-12,0.29478855939639725,depreciation
282,2022-11-24,-0.31241766100800206,appreciation
283,2023-01-13,0.0,hold
284,2023-02-23,0.593677717810337,depreciation
285,2023-04-11,-0.8698612004084616,appreciation
286,2023-05-25,-0.12064545317449493,hold
287,2023-07-13,-0.6746685494626314,appreciation
288,2023-08-24,0.20040080160321772,hold
289,2023-10-19,-0.3536432623590935,appreciation
290,2023-11-30,1.213084257034347,depreciation
291,2024-01-11,0.07998171846435032,hold
292,2024-02-22,0.1768579492003708,hold
293,2024-04-12,0.0,hold
294,2024-05-23,0.5211582926560876,depreciation
295,2024-07-11,0.21860312602470788,hold
296,2024-08-22,-0.986413549227616,appreciation
297,2024-10-11,0.0,hold
298,2024-11-28,0.19002545624036138,hold
299,2025-01-16,-0.06171781244642682,hold
